Cable Type;Cable Name;D;Weight
ВВГ и ВВГнг;1х1,5;5,4;43
ВВГ и ВВГнг;1х2,5;5,8;55
ВВГ и ВВГнг;1х4;6,6;78
ВВГ и ВВГнг;1х6;7,1;100
ВВГ и ВВГнг;1х10;7,9;143
ВВГ и ВВГнг;1х16;9,5;215
ВВГ и ВВГнг;1х25;11;316
ВВГ и ВВГнг;1х35;13;418
ВВГ и ВВГнг;1х50;13,5;554
ВВГ и ВВГнг;1х70;16,5;797
ВВГ и ВВГнг;1х95;19;1086
ВВГ и ВВГнг;1х120;20,7;1345
ВВГ и ВВГнг;1х150;22,6;1668
ВВГ и ВВГнг;1х185;24,8;2014
ВВГ и ВВГнг;1х240;27,6;2535
ВВГ и ВВГнг;2х2,5;9,8;120
ВВГ и ВВГнг;2х4;11,5;168
ВВГ и ВВГнг;2х6;12,5;212
ВВГ и ВВГнг;2х10;14,1;302
ВВГ и ВВГнг;2х16;16;425
ВВГ и ВВГнг;2х25;19,4;646
ВВГ и ВВГнг;3х2,5;10,3;154
ВВГ и ВВГнг;3х4;12,2;221
ВВГ и ВВГнг;3х6;13,2;285
ВВГ и ВВГнг;3х10;15;414
ВВГ и ВВГнг;3х16;16,9;594
ВВГ и ВВГнг;3х25;20,6;909
ВВГ и ВВГнг;3х35;20,6;1216
ВВГ и ВВГнг;3х50;23,8;1640
ВВГ и ВВГнг;3х70;27,8;2325
ВВГ и ВВГнг;3х95;31,5;3102
ВВГ и ВВГнг;3х120;34,5;3920
ВВГ и ВВГнг;3х150;37,2;4666
ВВГ и ВВГнг;3х185;41,6;5839
ВВГ и ВВГнг;3х2,5+1х1,5;11,2;181
ВВГ и ВВГнг;3х4+1х2,5;12,8;256
ВВГ и ВВГнг;3х6+1х4;14,4;342
ВВГ и ВВГнг;3х10+1х6;16,4;492
ВВГ и ВВГнг;3х16+1х10;19;712
ВВГ и ВВГнг;3х25+1х16;22,7;1087
ВВГ и ВВГнг;3х35+1х16;22,5;1410
ВВГ и ВВГнг;3х50+1х25;26,2;1937
ВВГ и ВВГнг;3х70+1х35;31;2786
ВВГ и ВВГнг;3х95+1х50;35,9;3756
ВВГ и ВВГнг;3х120+1х70;39,7;4634
ВВГ и ВВГнг;3х150+1х70;43;5677
ВВГ и ВВГнг;4х2,5;11,2;191
ВВГ и ВВГнг;4х4;13,3;278
ВВГ и ВВГнг;4х6;14,4;361
ВВГ и ВВГнг;4х10;16,4;531
ВВГ и ВВГнг;4х16;19;768
ВВГ и ВВГнг;4х25;22,7;1178
ВВГ и ВВГнг;4х35;25,4;1596
ВВГ и ВВГнг;4х50;28,2;2370
ВВГ и ВВГнг;4х70;31,7;3052
ВВГ и ВВГнг;4х95;36,6;4184
ВВГ и ВВГнг;4х120;39,7;5127
АВВГ и АВВГнг;1х2,5;5,8;40
АВВГ и АВВГнг;1х4;6,7;55
АВВГ и АВВГнг;1х6;7,2;64
АВВГ и АВВГнг;1х10;7,9;82
АВВГ и АВВГнг;1х16;9,5;120
АВВГ и АВВГнг;1х25;11;163
АВВГ и АВВГнг;1х35;12;201
АВВГ и АВВГнг;1х50;13,5;260
АВВГ и АВВГнг;1х70;15;334
АВВГ и АВВГнг;1х95;19;493
АВВГ и АВВГнг;1х120;20,7;586
АВВГ и АВВГнг;1х150;22,6;710
АВВГ и АВВГнг;1х185;24,8;678
АВВГ и АВВГнг;1х240;27,6;1056
АВВГ и АВВГнг;2х2,5;9,8;89
АВВГ и АВВГнг;2х4;11,6;119
АВВГ и АВВГнг;2х6;12,6;141
АВВГ и АВВГнг;2х10;14,2;181
АВВГ и АВВГнг;2х16;15,8;228
АВВГ и АВВГнг;2х25;19,3;338
АВВГ и АВВГнг;3х2,5;10,3;107
АВВГ и АВВГнг;3х4;12,2;148
АВВГ и АВВГнг;3х6;13,2;178
АВВГ и АВВГнг;3х10;15;233
АВВГ и АВВГнг;3х16;17;305
АВВГ и АВВГнг;3х25;20,7;456
АВВГ и АВВГнг;3х35;20,1;563
АВВГ и АВВГнг;3х50;22,9;734
АВВГ и АВВГнг;3х70;26;966
АВВГ и АВВГнг;3х95;29,4;1258
АВВГ и АВВГнг;3х120;31,8;1507
АВВГ и АВВГнг;3х150;35;1829
АВВГ и АВВГнг;3х185;38,4;2224
АВВГ и АВВГнг;3х240;43,3;2834
АВВГ и АВВГнг;3х4+1х2,5;12,9;168
АВВГ и АВВГнг;3х6+1х4;14,5;211
АВВГ и АВВГнг;3х10+1х6;16,5;275
АВВГ и АВВГнг;3х16+1х10;17,5;355
АВВГ и АВВГнг;3х25+1х16;21,3;527
АВВГ и АВВГнг;3х35+1х16;22,1;642
АВВГ и АВВГнг;3х50+1х25;25,8;875
АВВГ и АВВГнг;3х70+1х35;28,7;1119
АВВГ и АВВГнг;3х95+1х50;32,6;1461
АВВГ и АВВГнг;3х120+1х70;36;1806
АВВГ и АВВГнг;3х150+1х50;38,3;2037
АВВГ и АВВГнг;3х150+1х70;38,7;2102
АВВГ и АВВГнг;3х185+1х50;41,8;2430
АВВГ и АВВГнг;3х185+1х95;42,6;2585
АВВГ и АВВГнг;3х240+1х120;48,1;3326
АВВГ и АВВГнг;4х2,5;11,2;129
АВВГ и АВВГнг;4х4;13,3;180
АВВГ и АВВГнг;4х6;14,5;219
АВВГ и АВВГнг;4х10;16,5;290
АВВГ и АВВГнг;4х16;19;400
АВВГ и АВВГнг;4х25;22,8;574
АВВГ и АВВГнг;4х35;22,6;719
АВВГ и АВВГнг;4х50;26,1;964
АВВГ и АВВГнг;4х70;29,2;1240
АВВГ и АВВГнг;4х95;33,1;1623
АВВГ и АВВГнг;4х120;36,4;1981
АВВГ и АВВГнг;4х150;39,6;2370
АВВГ и АВВГнг;4х185;43,4;2888
АВВГ и АВВГнг;4х240;49,2;3734
АВБВнг и ВБВнг;3х25;35,8;1494
АВБВнг и ВБВнг;3х35;34,7;1671
АВБВнг и ВБВнг;3х50;36,6;1881
